id,code,name,description,img,translations
1,kn03,Математика 🧮,,,"{""en"": ""Mathematics \ud83e\uddee""}"
2,4bj6,Физика ⚛️,,,"{""en"": ""Physics \u269b\ufe0f""}"
3,ut1m,Химия 🧪,,,"{""en"": ""Chemistry \ud83e\uddea""}"
4,eu1a,Биология 🧬,,,"{""en"": ""Biology \ud83e\uddec""}"
5,tk3e,Информатика 💻,,,"{""en"": ""Computer Science \ud83d\udcbb""}"
6,2mva,Инженерия ⚙️,,,"{""en"": ""Engineering \u2699\ufe0f""}"
7,e08q,Экономика 💰,,,"{""en"": ""Economics \ud83d\udcb0""}"
8,2n2g,История 🏛️,,,"{""en"": ""History \ud83c\udfdb\ufe0f""}"
9,mb8y,Философия 🤔,,,"{""en"": ""Philosophy \ud83e\udd14""}"
10,2x5x,Социология 🫂,,,"{""en"": ""Sociology \ud83e\udec2""}"
11,b90k,Политология 🗳️,,,"{""en"": ""Political Science \ud83d\uddf3\ufe0f""}"
12,petz,Психология 🧠,,,"{""en"": ""Psychology \ud83e\udde0""}"
13,ni99,Лингвистика 🗣️,,,"{""en"": ""Linguistics \ud83d\udde3\ufe0f""}"
14,7p7j,Литература 📚,,,"{""en"": ""Literature \ud83d\udcda""}"
15,5npm,Искусство 🎨,,,"{""en"": ""Art \ud83c\udfa8""}"
16,6zpq,Музыка 🎶,,,"{""en"": ""Music \ud83c\udfb6""}"
17,ddvf,Медицина ⚕️,,,"{""en"": ""Medicine \u2695\ufe0f""}"
18,kcn8,Право ⚖️,,,"{""en"": ""Law \u2696\ufe0f""}"
19,18t8,Педагогика 👨‍🏫,,,"{""en"": ""Pedagogy \ud83d\udc68\u200d\ud83c\udfeb""}"
21,lxwe,География 🌍,,,"{""en"": ""Geography \ud83c\udf0d""}"
22,verl,Геология 🪨,,,"{""en"": ""Geology \ud83e\udea8""}"
23,efu6,Экология 🌿,,,"{""en"": ""Ecology \ud83c\udf3f""}"
24,3m1v,Астрономия ✨,,,"{""en"": ""Astronomy \u2728""}"
25,075u,Архитектура 🏗️,,,"{""en"": ""Architecture \ud83c\udfd7\ufe0f""}"
26,myz9,Сельское хозяйство 🌾,,,"{""en"": ""Agriculture \ud83c\udf3e""}"
27,196x,Статистика 📈,,,"{""en"": ""Statistics \ud83d\udcc8""}"
28,4h8p,Антропология 🐒,,,"{""en"": ""Anthropology \ud83d\udc12""}"
29,6tim,Археология 🏺,,,"{""en"": ""Archaeology \ud83c\udffa""}"
30,h4q7,Иностранные языки 🌐,,,"{""en"": ""Foreign Languages \ud83c\udf10""}"
